base_sample,alpha,epsilon_mps,direction_index,neural_loss_center,cbs_loss_center_half_mse,nn_inner_product,nn_finite_difference,cbs_inner_product,cbs_finite_difference
test_1,0.0,0.1,0,0.0002791645238175988,4.821583570446819e-05,-1.853146502606605e-06,-1.7904676496982574e-06,-20195.653942679244,-4.918183549307287e-07
test_1,0.0,0.1,1,0.0002791645238175988,4.821583570446819e-05,-9.280215673916825e-06,-9.315117495134473e-06,40458.76645321517,9.847281035035849e-07
test_1,0.0,0.1,2,0.0002791645238175988,4.821583570446819e-05,-3.815363799470378e-06,-3.854947863146663e-06,-104511.96574034862,-2.549677446950227e-06
test_1,0.0,0.1,3,0.0002791645238175988,4.821583570446819e-05,-8.545177074404764e-06,-8.532661013305187e-06,41225.88759591436,1.0101030056830496e-06
test_1,0.0,0.1,4,0.0002791645238175988,4.821583570446819e-05,-1.5422891734840036e-06,-1.5273690223693848e-06,24679.197587079256,6.008121999911964e-07
test_1,0.0,0.25,0,0.0002791645238175988,4.821583570446819e-05,-1.853146502606605e-06,-1.919688656926155e-06,-20195.653942679244,-4.916510079056025e-07
test_1,0.0,0.25,1,0.0002791645238175988,4.821583570446819e-05,-9.280215673916825e-06,-9.255192708224058e-06,40458.76645321517,9.845607564784586e-07
test_1,0.0,0.25,2,0.0002791645238175988,4.821583570446819e-05,-3.815363799470378e-06,-3.817141987383366e-06,-104511.96574034862,-2.5494518922641873e-06
test_1,0.0,0.25,3,0.0002791645238175988,4.821583570446819e-05,-8.545177074404764e-06,-8.545175660401583e-06,41225.88759591436,1.0093717719428241e-06
test_1,0.0,0.25,4,0.0002791645238175988,4.821583570446819e-05,-1.5422891734840036e-06,-1.553678885102272e-06,24679.197587079256,6.007903721183538e-07
test_1,0.0,0.5,0,0.0002791645238175988,4.821583570446819e-05,-1.853146502606605e-06,-1.9094732124358416e-06,-20195.653942679244,-4.909743438474834e-07
test_1,0.0,0.5,1,0.0002791645238175988,4.821583570446819e-05,-9.280215673916825e-06,-9.157985914498568e-06,40458.76645321517,9.842697181738913e-07
test_1,0.0,0.5,2,0.0002791645238175988,4.821583570446819e-05,-3.815363799470378e-06,-3.7723220884799957e-06,-104511.96574034862,-2.548600605223328e-06
test_1,0.0,0.5,3,0.0002791645238175988,4.821583570446819e-05,-8.545177074404764e-06,-8.475733920931816e-06,41225.88759591436,1.0086223483085632e-06
test_1,0.0,0.5,4,0.0002791645238175988,4.821583570446819e-05,-1.5422891734840036e-06,-1.614564098417759e-06,24679.197587079256,6.008922355249524e-07
test_1,0.5,0.1,0,0.00028801854932680726,1.2926113413413987e-05,-1.1732937167691768e-05,-1.1696392903104424e-05,-35189.25697581281,-8.604638424003497e-07
test_1,0.5,0.1,1,0.00028801854932680726,1.2926113413413987e-05,-4.764665659129237e-06,-4.715111572295427e-06,-12296.131315672745,-3.000468495883979e-07
test_1,0.5,0.1,2,0.00028801854932680726,1.2926113413413987e-05,-1.2986066342160046e-05,-1.3012613635510206e-05,-2664.3648585574115,-6.471964297816157e-08
test_1,0.5,0.1,3,0.00028801854932680726,1.2926113413413987e-05,-1.973537594795262e-05,-1.9738799892365932e-05,-24855.066538276005,-6.064328772481531e-07
test_1,0.5,0.1,4,0.00028801854932680726,1.2926113413413987e-05,-5.096795362320798e-07,-5.22850314155221e-07,9215.612569660705,2.2483163775177673e-07
test_1,0.5,0.25,0,0.00028801854932680726,1.2926113413413987e-05,-1.1732937167691768e-05,-1.174944918602705e-05,-35189.25697581281,-8.604765753261745e-07
test_1,0.5,0.25,1,0.00028801854932680726,1.2926113413413987e-05,-4.764665659129237e-06,-4.764297045767307e-06,-12296.131315672745,-3.0010596674401313e-07
test_1,0.5,0.25,2,0.00028801854932680726,1.2926113413413987e-05,-1.2986066342160046e-05,-1.2929202057421207e-05,-2664.3648585574115,-6.480695446953177e-08
test_1,0.5,0.25,3,0.00028801854932680726,1.2926113413413987e-05,-1.973537594795262e-05,-1.9714818336069584e-05,-24855.066538276005,-6.062728061806411e-07
test_1,0.5,0.25,4,0.00028801854932680726,1.2926113413413987e-05,-5.096795362320798e-07,-4.79456502944231e-07,9215.612569660705,2.2494168661069125e-07
test_1,0.5,0.5,0,0.00028801854932680726,1.2926113413413987e-05,-1.1732937167691768e-05,-1.169135794043541e-05,-35189.25697581281,-8.603437890997157e-07
test_1,0.5,0.5,1,0.00028801854932680726,1.2926113413413987e-05,-4.764665659129237e-06,-4.73816180601716e-06,-12296.131315672745,-3.0042792786844075e-07
test_1,0.5,0.5,2,0.00028801854932680726,1.2926113413413987e-05,-1.2986066342160046e-05,-1.2871285434812307e-05,-2664.3648585574115,-6.511254468932748e-08
test_1,0.5,0.5,3,0.00028801854932680726,1.2926113413413987e-05,-1.973537594795262e-05,-1.972340396605432e-05,-24855.066538276005,-6.059217412257567e-07
test_1,0.5,0.5,4,0.00028801854932680726,1.2926113413413987e-05,-5.096795362320798e-07,-4.702014848589897e-07,9215.612569660705,2.2517633624374866e-07
test_1,0.75,0.1,0,0.00029378756880760193,3.5006933103431948e-06,2.139119985570694e-05,2.146378392353654e-05,-12588.399362237178,-3.1094714358914644e-07
test_1,0.75,0.1,1,0.00029378756880760193,3.5006933103431948e-06,-3.874678361055549e-06,-3.7971767596900463e-06,1382.519410039789,3.65889718523249e-08
test_1,0.75,0.1,2,0.00029378756880760193,3.5006933103431948e-06,2.3543180854815486e-05,2.3546162992715836e-05,-14451.819060894863,-3.4782488000928424e-07
test_1,0.75,0.1,3,0.00029378756880760193,3.5006933103431948e-06,6.597151605609212e-07,7.08969309926033e-07,-22347.388811017736,-5.447304829431232e-07
test_1,0.75,0.1,4,0.00029378756880760193,3.5006933103431948e-06,-1.7962070053511284e-06,-1.8405262380838394e-06,4187.403737825678,9.797645361686591e-08
