sample,init_iter,final_iter,init_image_mse_256,final_image_mse_256,init_image_mae_256,final_image_mae_256,init_image_rmse_256,final_image_rmse_256,init_image_mse_480,final_image_mse_480,init_image_mae_480,final_image_mae_480,init_image_rmse_480,final_image_rmse_480,init_dobs_abs_loss,final_dobs_abs_loss,init_dobs_rel_l1,final_dobs_rel_l1,init_dobs_rel_l2,final_dobs_rel_l2,init_image_psnr_256,final_image_psnr_256,init_image_ssim_256,final_image_ssim_256,init_image_psnr_480,final_image_psnr_480,init_image_ssim_480,final_image_ssim_480,image_mse_256_improve_ratio,image_mse_256_improved,image_mae_256_improve_ratio,image_mae_256_improved,image_rmse_256_improve_ratio,image_rmse_256_improved,image_mse_480_improve_ratio,image_mse_480_improved,image_mae_480_improve_ratio,image_mae_480_improved,image_rmse_480_improve_ratio,image_rmse_480_improved,dobs_abs_loss_improve_ratio,dobs_abs_loss_improved,dobs_rel_l1_improve_ratio,dobs_rel_l1_improved,dobs_rel_l2_improve_ratio,dobs_rel_l2_improved,image_psnr_256_delta,image_psnr_256_improved,image_ssim_256_delta,image_ssim_256_improved,image_psnr_480_delta,image_psnr_480_improved,image_ssim_480_delta,image_ssim_480_improved,init_mse_256,final_mse_256,mse256_improve_ratio,init_mse_480,final_mse_480,mse480_improve_ratio,dobs_loss_improve_ratio,best_mse_256,best_mse_256_iter,best_dobs_abs_loss,best_dobs_iter,runtime_seconds,initial_forward_evals,adjoint_step_forward_evals,candidate_selection_forward_evals,post_update_eval_forward_evals,total_forward_like_evals_excluding_adjoint_solve
test_1,0,8,53.711753845214844,37.42714309692383,2.5710866451263428,2.696375846862793,7.328830319035558,6.117772723542762,48.023372650146484,32.65620803833008,2.4542646408081055,2.558741569519043,6.929889800721688,5.714561053863199,0.0068743061274290085,0.003290827153250575,0.15223252773284912,0.07287585735321045,0.09443479776382446,0.041844964027404785,28.934383885246298,30.503210444652762,0.8751691579818726,0.8842485547065735,29.420550651011723,31.09541968031681,0.9154216647148132,0.9200263023376465,0.3031852356789407,True,-0.04873005815416414,False,0.16524568625188207,True,0.3199934482687611,True,-0.042569544854174426,False,0.17537490231543768,True,0.5212859170409638,True,0.5212859009894348,True,0.5568904151982903,True,1.5688265594064639,True,0.009079396724700928,True,1.6748690293050856,True,0.004604637622833252,True,53.711753845214844,37.42714309692383,0.3031852356789407,48.023372650146484,32.65620803833008,0.3199934482687611,0.5212859170409638,37.42714309692383,8,0.003290827153250575,8,93.13191530099994,1,8,64,0,73
test_2,0,8,28.386564254760742,18.52825355529785,1.5632814168930054,1.804607629776001,5.32790430232758,4.304445789564302,25.109024047851562,15.38900089263916,1.4762279987335205,1.690888524055481,5.010890544389446,3.922881707704065,0.0038528013974428177,0.0017757198074832559,0.08478619903326035,0.03907715901732445,0.059301093220710754,0.023615406826138496,31.703948908922413,33.55673236793806,0.9252148270606995,0.9295523762702942,32.23677889481016,34.362972972701996,0.949297308921814,0.9515681266784668,0.34728791448613566,True,-0.1543715739693707,False,0.19209401195812986,True,0.38711274228293646,True,-0.1454114984311202,False,0.21712883708932282,True,0.5391094362660513,True,0.5391094368726899,True,0.6017711387065517,True,1.8527834590156473,True,0.0043375492095947266,True,2.1261940778918387,True,0.002270817756652832,True,28.386564254760742,18.52825355529785,0.34728791448613566,25.109024047851562,15.38900089263916,0.38711274228293646,0.5391094362660513,18.52825355529785,8,0.0017757198074832559,8,119.58237666900004,1,8,64,0,73
test_3,0,8,175.8738250732422,123.22607421875,3.6124625205993652,4.3022541999816895,13.261742912349122,11.100724040293498,163.69229125976562,113.11975860595703,3.4948673248291016,4.168192386627197,12.794228826301554,10.635777292043917,0.009049007669091225,0.005002429708838463,0.20379170775413513,0.11265917122364044,0.14658522605895996,0.07335364818572998,23.78306512967424,25.32805109322142,0.8917426466941833,0.8674760460853577,24.09479494392757,25.699692524285986,0.9139794707298279,0.8998675346374512,0.2993495526271,True,-0.19094777466858973,False,0.16295134706940786,True,0.3089487737303036,True,-0.1926611225022193,False,0.16870509067496603,True,0.4471847198922716,True,0.44718471391384834,True,0.49958361999779544,True,1.5449859635471768,True,-0.024266600608825684,False,1.604897580358415,True,-0.014111936092376709,False,175.8738250732422,123.22607421875,0.2993495526271,163.69229125976562,113.11975860595703,0.3089487737303036,0.4471847198922716,123.22607421875,8,0.005002429708838463,8,100.31083353599979,1,8,64,0,73
test_4,0,8,279.04229736328125,199.88226318359375,5.5956830978393555,6.228616237640381,16.70455917895714,14.137972385868977,262.35888671875,187.25653076171875,5.4424920082092285,6.084927082061768,16.197496310194055,13.68417081016306,0.01158791035413742,0.007073129527270794,0.2617424726486206,0.1597646325826645,0.17118194699287415,0.09798074513673782,21.778376832853226,23.227334639776323,0.8476586937904358,0.8217951059341431,22.04611942742197,23.51070749014677,0.875629186630249,0.8577797412872314,0.2836847134921265,True,-0.11311096942664692,False,0.1536458858681622,True,0.2862580981963879,True,-0.11804060950083137,False,0.15516753033300915,True,0.38961130078686096,True,0.3896113574294376,True,0.4276222063227022,True,1.4489578069230973,True,-0.025863587856292725,False,1.4645880627248005,True,-0.017849445343017578,False,279.04229736328125,199.88226318359375,0.2836847134921265,262.35888671875,187.25653076171875,0.2862580981963879,0.38961130078686096,199.88226318359375,8,0.007073129527270794,8,92.7875959449998,1,8,64,0,73
test_5,0,8,125.69015502929688,86.16271209716797,2.820659637451172,3.5362582206726074,11.211162073099151,9.282387198192497,115.09745788574219,77.02758026123047,2.718700408935547,3.4052443504333496,10.728348329810242,8.776535777926874,0.008617967367172241,0.003991072531789541,0.19188851118087769,0.08886561542749405,0.14412975311279297,0.058005113154649734,25.242064602083293,26.881883615535127,0.9049167633056641,0.8896202445030212,25.624419904746496,27.36861466931095,0.9267612099647522,0.91780686378479,0.3144832061263288,True,-0.2536990190946317,False,0.17204058440422693,True,0.3307621065124092,True,-0.2525265156988566,False,0.18193038591595662,True,0.5368893426622482,True,0.5368893380788986,True,0.5975493477057878,True,1.6398190134518345,True,-0.015296518802642822,False,1.7441947645644547,True,-0.008954346179962158,False,125.69015502929688,86.16271209716797,0.3144832061263288,115.09745788574219,77.02758026123047,0.3307621065124092,0.5368893426622482,86.16271209716797,8,0.003991072531789541,8,119.43501362900042,1,8,64,0,73
test_6,0,8,71.6466293334961,46.950321197509766,1.914595365524292,2.503650426864624,8.464433196233289,6.852030443416737,64.8623275756836,40.64246368408203,1.8384569883346558,2.3791615962982178,8.053715141205554,6.375144208885163,0.008668097667396069,0.0031026164069771767,0.1931835114955902,0.06914716213941574,0.137950599193573,0.043289367109537125,27.68311958589543,29.518691543948115,0.9161964654922485,0.9113297462463379,28.115151928973077,30.145276957694172,0.9426035284996033,0.9393082857131958,0.3446960222096591,True,-0.3076655631508424,False,0.19049152086567211,True,0.3734041746087607,True,-0.2941078368404249,False,0.2084219397991917,True,0.6420648997427275,True,0.6420648863625391,True,0.686196599628542,True,1.835571958052686,True,-0.0048667192459106445,False,2.030125028721095,True,-0.0032952427864074707,False,71.6466293334961,46.950321197509766,0.3446960222096591,64.8623275756836,40.64246368408203,0.3734041746087607,0.6420648997427275,46.950321197509766,8,0.0031026164069771767,8,176.84902871199938,1,8,64,0,73
test_7,0,8,83.28988647460938,52.18750762939453,2.312087059020996,2.844609260559082,9.12632929904512,7.224092166452095,76.40373229980469,45.776123046875,2.2255923748016357,2.7230517864227295,8.740922851724793,6.765805424845959,0.009230276569724083,0.003492687363177538,0.20786698162555695,0.07865575700998306,0.1365744024515152,0.046598196029663086,27.029154519763257,29.05941165793461,0.903594434261322,0.8980292081832886,27.403931478601816,29.62868714258959,0.9359890818595886,0.9316606521606445,0.37342323494096635,True,-0.23032099914236825,False,0.208433979342806,True,0.400865354754503,True,-0.22351775520672698,False,0.22596211640157315,True,0.6216053400549894,True,0.6216053343561224,True,0.6588072494268129,True,2.030257138171354,True,-0.005565226078033447,False,2.224755663987775,True,-0.004328429698944092,False,83.28988647460938,52.18750762939453,0.37342323494096635,76.40373229980469,45.776123046875,0.400865354754503,0.6216053400549894,52.18750762939453,8,0.003492687363177538,8,127.96395577500061,1,8,64,0,73
test_8,0,8,63.59306716918945,39.793766021728516,1.8261064291000366,2.359046220779419,7.97452614073021,6.3082300228929915,57.50374221801758,34.31539535522461,1.7472949028015137,2.25321364402771,7.583122194585656,5.857934393216145,0.006997683551162481,0.0027780397795140743,0.15615957975387573,0.06199444457888603,0.10956566035747528,0.03768400102853775,28.200979500838592,30.23692680048322,0.9187357425689697,0.9127095341682434,28.638116135653398,30.880187152536564,0.9465979933738708,0.9420092105865479,0.3742436433226673,True,-0.29184486905384815,False,0.2089523676305148,True,0.4032493533182087,True,-0.2895439919241711,False,0.22750362675166524,True,0.6030058004472663,True,0.6030058182969054,True,0.6560601112954204,True,2.0359472996446293,True,-0.006026208400726318,False,2.242071016883166,True,-0.004588782787322998,False,63.59306716918945,39.793766021728516,0.3742436433226673,57.50374221801758,34.31539535522461,0.4032493533182087,0.6030058004472663,39.793766021728516,8,0.0027780397795140743,8,124.53206590599984,1,8,64,0,73
test_9,0,8,80.4238510131836,48.94694900512695,2.1732399463653564,2.6995491981506348,8.967934601299431,6.996209617008838,73.78215026855469,42.76528549194336,2.089841604232788,2.5740151405334473,8.589653675705133,6.539517221626024,0.009782316163182259,0.00342446262948215,0.2200077474117279,0.07701737433671951,0.14400047063827515,0.04514660686254501,27.181228571032285,29.337820958708846,0.913264811038971,0.907440185546875,27.55556414184129,29.924163464791683,0.9415132403373718,0.9369374513626099,0.3913876494535975,True,-0.2421772398695616,False,0.21986388973049326,True,0.4203843973605365,True,-0.23167953749211284,False,0.23867510047319485,True,0.649933351876241,True,0.6499333535139685,True,0.6864829214576776,True,2.156592387676561,True,-0.005824625492095947,False,2.3685993229503914,True,-0.004575788974761963,False,80.4238510131836,48.94694900512695,0.3913876494535975,73.78215026855469,42.76528549194336,0.4203843973605365,0.649933351876241,48.94694900512695,8,0.00342446262948215,8,93.04005643399978,1,8,64,0,73
test_10,0,8,197.83352661132812,128.35198974609375,4.3225884437561035,4.94525671005249,14.065330661286572,11.329253715320077,186.7687225341797,120.68899536132812,4.2055134773254395,4.848482131958008,13.666335373251298,10.985854330061368,0.009442828595638275,0.005350771360099316,0.21164211630821228,0.11992684006690979,0.14015063643455505,0.07462403178215027,23.27207829246413,25.151051165052863,0.8712047934532166,0.8401287794113159,23.52203573815669,25.418400499572776,0.9010358452796936,0.8810458183288574,0.35121214313557836,True,-0.14404986141941759,False,0.1945263152253563,True,0.353805103318401,True,-0.15288707505018417,False,0.1961375138236515,True,0.43335079035489066,True,0.43335078027336066,True,0.467544110529499,True,1.878972872588733,True,-0.031076014041900635,False,1.8963647614160877,True,-0.01999002695083618,False,197.83352661132812,128.35198974609375,0.35121214313557836,186.7687225341797,120.68899536132812,0.353805103318401,0.43335079035489066,128.35198974609375,8,0.005350771360099316,8,92.74950278399956,1,8,64,0,73
