sample,init_iter,final_iter,init_image_mse_256,final_image_mse_256,init_image_mae_256,final_image_mae_256,init_image_rmse_256,final_image_rmse_256,init_image_mse_480,final_image_mse_480,init_image_mae_480,final_image_mae_480,init_image_rmse_480,final_image_rmse_480,init_dobs_abs_loss,final_dobs_abs_loss,init_dobs_rel_l1,final_dobs_rel_l1,init_dobs_rel_l2,final_dobs_rel_l2,init_image_psnr_256,final_image_psnr_256,init_image_ssim_256,final_image_ssim_256,init_image_psnr_480,final_image_psnr_480,init_image_ssim_480,final_image_ssim_480,image_mse_256_improve_ratio,image_mse_256_improved,image_mae_256_improve_ratio,image_mae_256_improved,image_rmse_256_improve_ratio,image_rmse_256_improved,image_mse_480_improve_ratio,image_mse_480_improved,image_mae_480_improve_ratio,image_mae_480_improved,image_rmse_480_improve_ratio,image_rmse_480_improved,dobs_abs_loss_improve_ratio,dobs_abs_loss_improved,dobs_rel_l1_improve_ratio,dobs_rel_l1_improved,dobs_rel_l2_improve_ratio,dobs_rel_l2_improved,image_psnr_256_delta,image_psnr_256_improved,image_ssim_256_delta,image_ssim_256_improved,image_psnr_480_delta,image_psnr_480_improved,image_ssim_480_delta,image_ssim_480_improved,init_mse_256,final_mse_256,mse256_improve_ratio,init_mse_480,final_mse_480,mse480_improve_ratio,dobs_loss_improve_ratio,best_mse_256,best_mse_256_iter,best_dobs_abs_loss,best_dobs_iter,runtime_seconds,initial_forward_evals,adjoint_step_forward_evals,candidate_selection_forward_evals,post_update_eval_forward_evals,total_forward_like_evals_excluding_adjoint_solve
test_1,0,8,53.711753845214844,43.39287185668945,2.5710866451263428,3.5405170917510986,7.328830319035558,6.587326609231506,48.023372650146484,40.20956039428711,2.4542646408081055,3.6473939418792725,6.929889800721688,6.3411008818885,0.0068743061274290085,0.0005365701508708298,0.15223252773284912,0.011882426217198372,0.09443479776382446,0.005826599895954132,28.934383885246298,29.86089328257024,0.8751691579818726,0.8192506432533264,29.420550651011723,30.191783970657717,0.9154216647148132,0.8286020755767822,0.19211590107934082,True,-0.3770508662016488,False,0.10117626927151033,True,0.16270852763264593,True,-0.48614533299792156,False,0.08496367702294286,True,0.9219455546717916,True,0.9219455500405759,True,0.9383002872366561,True,0.9265093973239402,True,-0.05591851472854614,False,0.7712333196459937,True,-0.086819589138031,False,53.711753845214844,43.39287185668945,0.19211590107934082,48.023372650146484,40.20956039428711,0.16270852763264593,0.9219455546717916,43.39287185668945,8,0.0005365701508708298,8,93.01960941699963,1,8,64,0,73
test_2,0,8,28.386564254760742,23.634794235229492,1.5632814168930054,2.3412692546844482,5.32790430232758,4.861562941609364,25.109024047851562,21.145612716674805,1.4762279987335205,2.3880319595336914,5.010890544389446,4.598435898941596,0.0038528013974428177,0.000444974924903363,0.08478619903326035,0.009792285971343517,0.059301093220710754,0.0051633515395224094,31.703948908922413,32.49955896428506,0.9252148270606995,0.8961807489395142,32.23677889481016,32.9828744830059,0.949297308921814,0.9065311551094055,0.16739503861352853,True,-0.49766333136434415,False,0.08752810378264488,True,0.15784808376555468,True,-0.617657950927502,False,0.0823116453640325,True,0.8845061346574449,True,0.8845061332636617,True,0.9129299097199096,True,0.7956100553626442,True,-0.029034078121185303,False,0.7460955881957432,True,-0.04276615381240845,False,28.386564254760742,23.634794235229492,0.16739503861352853,25.109024047851562,21.145612716674805,0.15784808376555468,0.8845061346574449,23.634794235229492,8,0.000444974924903363,8,93.08701269199992,1,8,64,0,73
test_3,0,8,175.8738250732422,154.6053009033203,3.6124625205993652,5.410434722900391,13.261742912349122,12.434037996697626,163.69229125976562,147.54103088378906,3.4948673248291016,5.636273384094238,12.794228826301554,12.146646898786063,0.009049007669091225,0.0021954583935439587,0.20379170775413513,0.04944367706775665,0.14658522605895996,0.030415154993534088,23.78306512967424,24.342833417556314,0.8917426466941833,0.7538304328918457,24.09479494392757,24.545949085200075,0.9139794707298279,0.739723265171051,0.12093058282586698,True,-0.4977137318513177,False,0.062412981545637465,True,0.09866842385598842,True,-0.6127288564149537,False,0.05061515909299534,True,0.7573813091351014,True,0.7573813104890144,True,0.7925087281163457,True,0.559768287882072,True,-0.13791221380233765,False,0.45115414127250375,True,-0.17425620555877686,False,175.8738250732422,154.6053009033203,0.12093058282586698,163.69229125976562,147.54103088378906,0.09866842385598842,0.7573813091351014,154.6053009033203,8,0.0021954583935439587,8,98.1191386800001,1,8,64,0,73
test_4,0,8,279.04229736328125,250.76504516601562,5.5956830978393555,7.637585163116455,16.70455917895714,15.835562672858064,262.35888671875,243.35723876953125,5.4424920082092285,7.943270206451416,16.197496310194055,15.599911498772396,0.01158791035413742,0.0035451038274914026,0.2617424726486206,0.08007519692182541,0.17118194699287415,0.045961711555719376,21.778376832853226,22.242407232443185,0.8476586937904358,0.6721375584602356,22.04611942742197,22.372634530569208,0.875629186630249,0.6471714973449707,0.10133679540507712,True,-0.364906666366644,False,0.05202151680804041,True,0.0724261647351345,True,-0.4594913863850711,False,0.03689365319043323,True,0.6940687561567384,True,0.6940687687702202,True,0.7315037457871411,True,0.4640303995899586,True,-0.1755211353302002,False,0.3265151031472371,True,-0.22845768928527832,False,279.04229736328125,250.76504516601562,0.10133679540507712,262.35888671875,243.35723876953125,0.0724261647351345,0.6940687561567384,250.76504516601562,8,0.0035451038274914026,8,92.73135797099985,1,8,64,0,73
test_5,0,8,125.69015502929688,106.59271240234375,2.820659637451172,4.782203674316406,11.211162073099151,10.324374673671223,115.09745788574219,100.63263702392578,2.718700408935547,5.009574890136719,10.728348329810242,10.031581980122866,0.008617967367172241,0.0011016568168997765,0.19188851118087769,0.024529598653316498,0.14412975311279297,0.012492459267377853,25.242064602083293,25.957802085245017,0.9049167633056641,0.7599720358848572,25.624419904746496,26.207688688201266,0.9267612099647522,0.7468960881233215,0.15194064023949677,True,-0.6954203232535513,False,0.07909861561591994,True,0.12567454683643473,True,-0.8426358688404639,False,0.06494628327374931,True,0.8721674414818046,True,0.8721674450271459,True,0.9133249103777008,True,0.7157374831617247,True,-0.14494472742080688,False,0.5832687834547698,True,-0.17986512184143066,False,125.69015502929688,106.59271240234375,0.15194064023949677,115.09745788574219,100.63263702392578,0.12567454683643473,0.8721674414818046,106.59271240234375,8,0.0011016568168997765,8,92.86658177899972,1,8,64,0,73
test_6,0,8,71.6466293334961,57.56231689453125,1.914595365524292,3.435074806213379,8.464433196233289,7.5869833856765005,64.8623275756836,53.16682815551758,1.8384569883346558,3.5930871963500977,8.053715141205554,7.291558691769379,0.008668097667396069,0.0008825324475765228,0.1931835114955902,0.019668757915496826,0.137950599193573,0.010358870960772038,27.68311958589543,28.633694560571627,0.9161964654922485,0.823925793170929,28.115151928973077,28.97866970310504,0.9426035284996033,0.8234518766403198,0.19658025185533715,True,-0.7941518443360095,False,0.10366315029187705,True,0.18031266926890846,True,-0.9544037304913497,False,0.09463414536933748,True,0.8981861439108789,True,0.8981861455766943,True,0.9249088367701735,True,0.9505749746761971,True,-0.09227067232131958,False,0.8635177741319637,True,-0.11915165185928345,False,71.6466293334961,57.56231689453125,0.19658025185533715,64.8623275756836,53.16682815551758,0.18031266926890846,0.8981861439108789,57.56231689453125,8,0.0008825324475765228,8,93.00784716999988,1,8,64,0,73
test_7,0,8,83.28988647460938,69.63531494140625,2.312087059020996,3.568056106567383,9.12632929904512,8.344777704732838,76.40373229980469,64.5024642944336,2.2255923748016357,3.683506727218628,8.740922851724793,8.031342620909259,0.009230276569724083,0.0020339330658316612,0.20786698162555695,0.045804426074028015,0.1365744024515152,0.025998281314969063,27.029154519763257,27.806781779824156,0.903594434261322,0.835981011390686,27.403931478601816,28.139314150881766,0.9359890818595886,0.8441250324249268,0.16394033070708422,True,-0.5432187523585971,False,0.08563701447787656,True,0.15576814963267654,True,-0.6550680029833761,False,0.0811790977740338,True,0.779645490441452,True,0.7796454938797452,True,0.8096401606076346,True,0.7776272600608998,True,-0.06761342287063599,False,0.7353826722799504,True,-0.09186404943466187,False,83.28988647460938,69.63531494140625,0.16394033070708422,76.40373229980469,64.5024642944336,0.15576814963267654,0.779645490441452,69.63531494140625,8,0.0020339330658316612,8,104.96028004500022,1,8,64,0,73
test_8,0,8,63.59306716918945,52.70676803588867,1.8261064291000366,3.0334410667419434,7.97452614073021,7.2599427019700835,57.50374221801758,48.39390563964844,1.7472949028015137,3.149949312210083,7.583122194585656,6.956572837227282,0.006997683551162481,0.0012667528353631496,0.15615957975387573,0.0282687246799469,0.10956566035747528,0.015356102026998997,28.200979500838592,29.016413358949062,0.9187357425689697,0.8551341891288757,28.638116135653398,29.387170487670964,0.9465979933738708,0.862261950969696,0.1711868858965018,True,-0.6611523941878122,False,0.08960826338135293,True,0.15842163008853027,True,-0.8027576839827266,False,0.08262419373983552,True,0.8189754042290627,True,0.8189754049971163,True,0.8598456671756722,True,0.8154338581104703,True,-0.063601553440094,False,0.7490543520175663,True,-0.0843360424041748,False,63.59306716918945,52.70676803588867,0.1711868858965018,57.50374221801758,48.39390563964844,0.15842163008853027,0.8189754042290627,52.70676803588867,8,0.0012667528353631496,8,93.06891399899996,1,8,64,0,73
test_9,0,8,80.4238510131836,64.63179779052734,2.1732399463653564,3.643566370010376,8.967934601299431,8.039390386747451,73.78215026855469,60.541805267333984,2.089841604232788,3.8174362182617188,8.589653675705133,7.780861473341752,0.009782316163182259,0.0010112813906744123,0.2200077474117279,0.02274407632648945,0.14400047063827515,0.011411783285439014,27.181228571032285,28.13061485736312,0.913264811038971,0.8169358968734741,27.55556414184129,28.414523552770092,0.9415132403373718,0.8136127591133118,0.19636032126921305,True,-0.6765596344312537,False,0.10354047568738213,True,0.17945187220795114,True,-0.8266629444686214,False,0.0941588838035303,True,0.8966214775006764,True,0.8966214754027627,True,0.9207517639645371,True,0.9493862863308351,True,-0.09632891416549683,False,0.8589594109288008,True,-0.12790048122406006,False,80.4238510131836,64.63179779052734,0.19636032126921305,73.78215026855469,60.541805267333984,0.17945187220795114,0.8966214775006764,64.63179779052734,8,0.0010112813906744123,8,101.6231591980004,1,8,64,0,73
test_10,0,8,197.83352661132812,174.6229248046875,4.3225884437561035,6.140908718109131,14.065330661286572,13.214496766986153,186.7687225341797,170.46595764160156,4.2055134773254395,6.42499303817749,13.666335373251298,13.056261242852088,0.009442828595638275,0.002663573483005166,0.21164211630821228,0.059698671102523804,0.14015063643455505,0.036206021904945374,23.27207829246413,23.814064640557167,0.8712047934532166,0.7214728593826294,23.52203573815669,23.918700595134418,0.9010358452796936,0.708495020866394,0.11732390461926613,True,-0.42065542394607,False,0.06049156715826055,True,0.08728851743146952,True,-0.5277547136201391,False,0.044640652650252195,True,0.71792631236011,True,0.7179263175751693,True,0.7416635212884398,True,0.5419863480930367,True,-0.14973193407058716,False,0.39666485697772913,True,-0.19254082441329956,False,197.83352661132812,174.6229248046875,0.11732390461926613,186.7687225341797,170.46595764160156,0.08728851743146952,0.71792631236011,174.6229248046875,8,0.002663573483005166,8,100.18294576500011,1,8,64,0,73
