start training
Epoch [001/080] | train_loss=446248.891618 | val_mse=2218757.667500 | val_psnr=-22.0285 | val_ssim=0.0001
Epoch [002/080] | train_loss=444942.787103 | val_mse=2211554.530000 | val_psnr=-22.0144 | val_ssim=0.0002
Epoch [003/080] | train_loss=443123.779404 | val_mse=2201062.582500 | val_psnr=-21.9938 | val_ssim=0.0002
Epoch [004/080] | train_loss=440772.237179 | val_mse=2193739.052500 | val_psnr=-21.9793 | val_ssim=-0.0004
Epoch [005/080] | train_loss=437429.745506 | val_mse=2169460.425000 | val_psnr=-21.9310 | val_ssim=-0.0002
Epoch [006/080] | train_loss=433275.563894 | val_mse=2145786.297500 | val_psnr=-21.8833 | val_ssim=-0.0007
Epoch [007/080] | train_loss=428324.875732 | val_mse=2143144.827500 | val_psnr=-21.8780 | val_ssim=-0.0038
Epoch [008/080] | train_loss=422835.645380 | val_mse=2089615.255000 | val_psnr=-21.7681 | val_ssim=0.0035
Epoch [009/080] | train_loss=416892.776129 | val_mse=2059259.125000 | val_psnr=-21.7046 | val_ssim=0.0028
Epoch [010/080] | train_loss=410571.554731 | val_mse=2031604.048750 | val_psnr=-21.6458 | val_ssim=0.0044
Epoch [011/080] | train_loss=403899.224603 | val_mse=1989181.585000 | val_psnr=-21.5542 | val_ssim=0.0053
Epoch [012/080] | train_loss=396849.902453 | val_mse=1957038.557500 | val_psnr=-21.4834 | val_ssim=0.0080
Epoch [013/080] | train_loss=389478.545116 | val_mse=1923113.526250 | val_psnr=-21.4074 | val_ssim=0.0078
Epoch [014/080] | train_loss=381850.212932 | val_mse=1915471.375000 | val_psnr=-21.3902 | val_ssim=-0.0025
Epoch [015/080] | train_loss=374059.475718 | val_mse=1839783.088750 | val_psnr=-21.2150 | val_ssim=0.0106
Epoch [016/080] | train_loss=365875.623955 | val_mse=1806991.286250 | val_psnr=-21.1369 | val_ssim=0.0070
Epoch [017/080] | train_loss=357529.474707 | val_mse=1756766.877500 | val_psnr=-21.0145 | val_ssim=0.0175
Epoch [018/080] | train_loss=349038.176700 | val_mse=1718617.443750 | val_psnr=-20.9190 | val_ssim=-0.0037
Epoch [019/080] | train_loss=340395.596363 | val_mse=1666480.065000 | val_psnr=-20.7854 | val_ssim=0.0213
Epoch [020/080] | train_loss=331688.929313 | val_mse=1667481.452500 | val_psnr=-20.7880 | val_ssim=0.0048
Epoch [021/080] | train_loss=323018.155449 | val_mse=1598057.672500 | val_psnr=-20.6032 | val_ssim=0.0137
Epoch [022/080] | train_loss=314192.269161 | val_mse=1555998.432500 | val_psnr=-20.4875 | val_ssim=0.0170
Epoch [023/080] | train_loss=305311.745123 | val_mse=1505272.592500 | val_psnr=-20.3434 | val_ssim=0.0243
Epoch [024/080] | train_loss=296397.808110 | val_mse=1439361.002500 | val_psnr=-20.1489 | val_ssim=0.0375
Epoch [025/080] | train_loss=287579.927954 | val_mse=1410541.941250 | val_psnr=-20.0611 | val_ssim=0.0142
Epoch [026/080] | train_loss=278827.790447 | val_mse=1371910.420000 | val_psnr=-19.9406 | val_ssim=0.0193
Epoch [027/080] | train_loss=270214.838768 | val_mse=1281369.308750 | val_psnr=-19.6437 | val_ssim=0.0244
Epoch [028/080] | train_loss=261662.288235 | val_mse=1265999.957500 | val_psnr=-19.5912 | val_ssim=0.0287
Epoch [029/080] | train_loss=253112.942099 | val_mse=1226283.431250 | val_psnr=-19.4532 | val_ssim=0.0362
Epoch [030/080] | train_loss=244737.666632 | val_mse=1187982.425000 | val_psnr=-19.3153 | val_ssim=0.0401
Epoch [031/080] | train_loss=236551.828160 | val_mse=1154090.580000 | val_psnr=-19.1896 | val_ssim=0.0324
Epoch [032/080] | train_loss=228541.440426 | val_mse=1114497.967500 | val_psnr=-19.0381 | val_ssim=0.0293
Epoch [033/080] | train_loss=220706.272993 | val_mse=1074012.818125 | val_psnr=-18.8772 | val_ssim=0.0394
Epoch [034/080] | train_loss=213079.961887 | val_mse=1029525.304375 | val_psnr=-18.6936 | val_ssim=0.0429
Epoch [035/080] | train_loss=205715.993137 | val_mse=1009754.230000 | val_psnr=-18.6094 | val_ssim=0.0430
Epoch [036/080] | train_loss=198598.112162 | val_mse=975855.413750 | val_psnr=-18.4611 | val_ssim=0.0519
Epoch [037/080] | train_loss=191663.557100 | val_mse=937620.948125 | val_psnr=-18.2875 | val_ssim=0.0512
Epoch [038/080] | train_loss=185020.786406 | val_mse=895509.503125 | val_psnr=-18.0877 | val_ssim=0.0493
Epoch [039/080] | train_loss=178595.020886 | val_mse=860454.986875 | val_psnr=-17.9145 | val_ssim=0.0530
Epoch [040/080] | train_loss=172377.342026 | val_mse=844238.275625 | val_psnr=-17.8318 | val_ssim=0.0644
Epoch [041/080] | train_loss=166493.317778 | val_mse=813629.562500 | val_psnr=-17.6714 | val_ssim=0.0692
Epoch [042/080] | train_loss=161070.882194 | val_mse=785647.555000 | val_psnr=-17.5193 | val_ssim=0.0775
Epoch [043/080] | train_loss=155952.272366 | val_mse=754847.163750 | val_psnr=-17.3455 | val_ssim=0.0653
Epoch [044/080] | train_loss=150922.863469 | val_mse=737195.365625 | val_psnr=-17.2429 | val_ssim=0.0617
Epoch [045/080] | train_loss=146145.629459 | val_mse=709684.060000 | val_psnr=-17.0777 | val_ssim=0.0281
Epoch [046/080] | train_loss=141480.227146 | val_mse=689663.440625 | val_psnr=-16.9535 | val_ssim=0.0221
Epoch [047/080] | train_loss=136930.861134 | val_mse=670615.012500 | val_psnr=-16.8318 | val_ssim=0.0255
Epoch [048/080] | train_loss=132580.228261 | val_mse=646784.155625 | val_psnr=-16.6747 | val_ssim=0.0232
Epoch [049/080] | train_loss=128588.969935 | val_mse=629646.378125 | val_psnr=-16.5581 | val_ssim=0.0189
Epoch [050/080] | train_loss=124787.848863 | val_mse=611142.328125 | val_psnr=-16.4285 | val_ssim=0.0293
Epoch [051/080] | train_loss=121182.444999 | val_mse=592964.599375 | val_psnr=-16.2973 | val_ssim=0.0284
Epoch [052/080] | train_loss=117816.676186 | val_mse=580455.723750 | val_psnr=-16.2047 | val_ssim=0.0263
Epoch [053/080] | train_loss=114664.763831 | val_mse=558310.506250 | val_psnr=-16.0358 | val_ssim=0.0342
Epoch [054/080] | train_loss=111729.271469 | val_mse=547036.470625 | val_psnr=-15.9471 | val_ssim=0.0298
Epoch [055/080] | train_loss=109036.558537 | val_mse=532817.386563 | val_psnr=-15.8327 | val_ssim=0.0323
Epoch [056/080] | train_loss=106501.184025 | val_mse=523855.654687 | val_psnr=-15.7590 | val_ssim=0.0346
Epoch [057/080] | train_loss=104128.599498 | val_mse=509991.346562 | val_psnr=-15.6425 | val_ssim=0.0359
Epoch [058/080] | train_loss=101975.309077 | val_mse=501177.485938 | val_psnr=-15.5667 | val_ssim=0.0397
Epoch [059/080] | train_loss=100037.508213 | val_mse=491487.557812 | val_psnr=-15.4820 | val_ssim=0.0366
Epoch [060/080] | train_loss=98285.773681 | val_mse=482960.231875 | val_psnr=-15.4060 | val_ssim=0.0349
Epoch [061/080] | train_loss=96668.733487 | val_mse=475298.854063 | val_psnr=-15.3365 | val_ssim=0.0381
Epoch [062/080] | train_loss=95200.055855 | val_mse=467275.641875 | val_psnr=-15.2626 | val_ssim=0.0374
Epoch [063/080] | train_loss=93880.874686 | val_mse=461933.280313 | val_psnr=-15.2126 | val_ssim=0.0399
Epoch [064/080] | train_loss=92719.720753 | val_mse=456668.633750 | val_psnr=-15.1628 | val_ssim=0.0407
Epoch [065/080] | train_loss=91682.300333 | val_mse=451192.302187 | val_psnr=-15.1104 | val_ssim=0.0422
Epoch [066/080] | train_loss=90758.226075 | val_mse=447832.527500 | val_psnr=-15.0779 | val_ssim=0.0378
Epoch [067/080] | train_loss=89934.143578 | val_mse=443237.063437 | val_psnr=-15.0331 | val_ssim=0.0389
Epoch [068/080] | train_loss=89223.254694 | val_mse=439678.370000 | val_psnr=-14.9980 | val_ssim=0.0403
Epoch [069/080] | train_loss=88610.049244 | val_mse=436659.176250 | val_psnr=-14.9681 | val_ssim=0.0398
Epoch [070/080] | train_loss=88096.416606 | val_mse=434551.684063 | val_psnr=-14.9471 | val_ssim=0.0388
Epoch [071/080] | train_loss=87662.650162 | val_mse=432409.447500 | val_psnr=-14.9256 | val_ssim=0.0394
Epoch [072/080] | train_loss=87312.818048 | val_mse=430569.490312 | val_psnr=-14.9071 | val_ssim=0.0402
Epoch [073/080] | train_loss=87024.769022 | val_mse=430040.585000 | val_psnr=-14.9017 | val_ssim=0.0402
Epoch [074/080] | train_loss=86801.941010 | val_mse=429210.349687 | val_psnr=-14.8933 | val_ssim=0.0402
Epoch [075/080] | train_loss=86635.569546 | val_mse=429669.696250 | val_psnr=-14.8980 | val_ssim=0.0410
Epoch [076/080] | train_loss=86518.240550 | val_mse=427941.442812 | val_psnr=-14.8805 | val_ssim=0.0415
Epoch [077/080] | train_loss=86437.721633 | val_mse=427776.836875 | val_psnr=-14.8788 | val_ssim=0.0409
Epoch [078/080] | train_loss=86389.717975 | val_mse=427593.840938 | val_psnr=-14.8769 | val_ssim=0.0413
Epoch [079/080] | train_loss=86365.331896 | val_mse=427346.050000 | val_psnr=-14.8744 | val_ssim=0.0412
Epoch [080/080] | train_loss=86355.509711 | val_mse=427088.230625 | val_psnr=-14.8718 | val_ssim=0.0413
